fold,test_start,test_end,test_return,test_trades,test_win_rate,test_sharpe,test_max_dd,spy_return,regime
1,2016-03-31,2016-06-28,0.0002340804793548,6,0.6666666666666666,1.1699638925193607,-0.0245126950477365,-0.011288474484182465,Other
2,2016-06-29,2016-09-27,0.0008771478773785,5,0.4,5.181262560863539,-0.0067084922301594,0.043114310965934655,Other
3,2016-09-28,2016-12-27,-0.0076780663070679,1,0.0,0.0,-0.0082910335151606,0.044451647479429646,Other
4,2016-12-28,2017-03-29,0.0126403834195519,5,0.8,10.183741654665775,-9.248345730082716e-05,0.049643492391480804,Other
5,2017-03-30,2017-06-28,-0.006279548695545,5,0.4,-7.070976068267076,-0.0100459762530708,0.030471083886791872,Other
6,2017-06-29,2017-09-27,-0.0086226450194073,5,0.2,-8.497482959627106,-0.0096209301603929,0.036047220750890396,Other
7,2017-09-28,2017-12-27,-0.0014015229919053,5,0.6,-0.5504551777262273,-0.0023427251176453,0.06778510408218774,Other
8,2017-12-28,2018-03-29,-0.0069682530450249,6,0.5,-1.2752295772156952,-0.0115591571884919,-0.0176204924281953,Other
9,2018-04-02,2018-06-28,-0.0036129968331145,5,0.4,-1.9025835150602504,-0.005050825864935,0.052122629293153144,Other
10,2018-06-29,2018-09-27,0.0057093201332475,5,0.6,2.526405952963552,-0.0021935603611182,0.07154970417815654,Other
11,2018-09-28,2018-12-28,0.0259326322552107,6,1.0,28.574678414607376,-0.0022396227470779,-0.14780545211982854,Other
12,2018-12-31,2019-04-01,0.0120879582183457,3,1.0,11.104127162509297,0.0,0.14368593416460107,Other
13,2019-04-02,2019-07-01,0.00520465140707,5,0.6,3.5120454355377,-0.0028002437986183,0.033884681610109935,Other
14,2019-07-02,2019-09-30,0.0058081262516786,5,0.6,6.217089449973419,-0.0028777596317289,0.0011469700984760856,Other
15,2019-10-01,2019-12-30,-0.0066061158454896,5,0.4,-7.18045535666544,-0.0026610353831099,0.09493928954109987,Other
16,2019-12-31,2020-03-31,0.0,0,0.0,0.0,0.0,-0.1991859450361193,Other
17,2020-04-01,2020-06-30,-0.002595396832237,4,0.5,-1.2319849898500814,-0.0170485826408385,0.2527320454910913,Bull
18,2020-07-01,2020-09-29,0.0080159452075575,3,0.6666666666666666,11.432354244471435,0.0,0.07036586009460932,Bull
19,2020-09-30,2020-12-29,0.0004183695744894,4,0.25,-2.0826708557951785,-0.0011569696291352,0.10919996179949187,Bull
20,2020-12-30,2021-03-31,0.0046573645021437,5,0.6,3.3092497204582423,-0.0011013146863938,0.06543185832112042,Bull
21,2021-04-01,2021-06-30,0.0024287956576538,6,0.5,0.7476920667001417,-0.0032451943093871,0.06852053920458823,Bull
22,2021-07-01,2021-09-29,-0.0055793127205465,6,0.3333333333333333,-4.87397769815364,-0.0062150012705993,0.009339543246648319,Bull
23,2021-09-30,2021-12-29,0.0059315911475753,4,0.75,15.819832567790405,-0.0035925493726713,0.11264388005740278,Bull
24,2021-12-30,2022-03-30,0.0001713105881118,5,0.6,1.4488032589614106,-0.0035707233612824,-0.03666832854669588,Bull
25,2022-03-31,2022-06-30,-0.0008468509582137,2,0.5,-0.3714081035297584,-0.0006294383431491,-0.1647108587274838,Bear
26,2022-07-01,2022-09-29,-0.0045723372799683,2,0.0,0.0,-0.0002137136405945,-0.04839466520317193,Bear
27,2022-09-30,2022-12-29,-0.0006504481143188,5,0.2,-4.839020081393478,-0.0063947863888931,0.07352038273168815,Bear
28,2022-12-30,2023-03-31,0.0,0,0.0,0.0,0.0,0.0704966202677324,Bear
29,2023-04-03,2023-07-03,0.0227823832979775,5,1.0,16.040974116843014,0.0,0.07991238681688184,Recovery
30,2023-07-05,2023-10-02,-0.0062114683229828,5,0.4,-2.999772050905292,-0.0070132306877946,-0.035700600613588374,Recovery
31,2023-10-03,2024-01-02,0.0042197967678835,5,0.4,0.849560223061634,-0.0023396305320909,0.12111292488465697,Recovery
32,2024-01-03,2024-04-03,-0.0118787047197723,5,0.2,-5.815888956695661,-0.0033671956679155,0.10798004154723517,Bull
33,2024-04-04,2024-07-03,-0.009314663932991,6,0.1666666666666666,-10.245769193959926,-0.0114825038294601,0.07482412555871365,Bull
34,2024-07-05,2024-10-02,-0.0027211605804062,5,0.4,-4.710964599813125,-0.0018180793628311,0.025638198340482976,Bull
