Regime,N,Mean,Std,Win Rate,Best,Worst,Sharpe
Low volatility (2015-2019),16,0.002575310144836285,0.009112252281492829,0.5625,0.025932632255210773,-0.008622645019407354,0.5652411863237792
High volatility (2020-2024),18,0.00031170856279640345,0.007315176704631194,0.4444444444444444,0.022782383297977504,-0.009314663932991098,0.08522242876212754
Pre-COVID (2017-2019),12,0.0020204528480775967,0.010125532978939663,0.4166666666666667,0.025932632255210773,-0.008622645019407354,0.3990807895801603
COVID year (2020),4,0.0025021822840119055,0.0034916260211488503,0.75,0.004872097546615696,-0.00259539683223702,1.4332475865720649
Recovery / inflation (2021),4,0.0007654594972587072,0.004784970154603356,0.75,0.0059315911475753815,-0.00546985940430619,0.31994326924789734
Bear market (2022),4,-0.0017471655665016442,0.0019896669238975142,0.0,0.0,-0.004572337279968342,-1.7562392433796512
Stabilisation (2023-2024),6,-7.852512145676913e-05,0.01228557260002878,0.3333333333333333,0.022782383297977504,-0.009314663932991098,-0.012783306731114052
