Metric,Value
Mean Return (Quarterly),0.0013769328366975237
Annualized Return,0.005507731346790095
Standard Deviation,0.008041437314261211
Sharpe Ratio (Ann.),0.34245938453206143
Sortino Ratio (Ann.),0.47716966687490187
Maximum Drawdown,-0.017048582640838576
Calmar Ratio,0.3230609525038607
Win Rate (Folds),0.5
Best Fold,0.025932632255210773
Worst Fold,-0.009314663932991098
Skewness,1.2325206373844952
Kurtosis,1.6657775286213878
Total Folds,34.0
Average Trades per Fold,4.411764705882353
